Density,Interference,Sociality,patch_value,residence_time,se
2,1,0,10,1,0
5,0.1,0,1.5,2,0
2,0.1,0.5,1.8,2,0
0.4,1,0,2,2,0
2,0.5,0.5,2.3,2,0
0.4,0.1,0.5,2.4,2,0
0.4,0.1,0,3,2,0
0.4,0.1,0.5,1,0,0
0.4,0.1,0,1,0,0
0.4,0.1,1,1,0,0
0.4,0.5,0.5,1,0,0
0.4,0.5,0,1,0,0
0.4,0.5,1,1,0,0
0.4,1,0.5,1,0,0
0.4,1,0,1,0,0
0.4,1,1,1,0,0
2,0.1,0.5,1,0,0
2,0.1,0,1,0,0
2,0.1,1,1,0,0
2,0.5,0.5,1,0,0
2,0.5,0,1,0,0
2,0.5,1,1,0,0
2,1,0.5,1,0,0
2,1,0,1,0,0
2,1,1,1,0,0
5,0.1,0.5,1,0,0
5,0.1,0,1,0,0
5,0.1,1,1,0,0
5,0.5,0.5,1,0,0
5,0.5,0,1,0,0
5,0.5,1,1,0,0
5,1,0.5,1,0,0
5,1,0,1,0,0
5,1,1,1,0,0
0.4,0.1,0.5,1.1,0,0
0.4,0.1,0,1.1,0,0
0.4,0.1,1,1.1,0,0
0.4,0.5,0.5,1.1,0,0
0.4,0.5,0,1.1,0,0
0.4,0.5,1,1.1,0,0
0.4,1,0.5,1.1,0,0
0.4,1,0,1.1,0,0
0.4,1,1,1.1,0,0
2,0.1,0.5,1.1,0,0
2,0.1,0,1.1,0,0
2,0.1,1,1.1,0,0
2,0.5,0.5,1.1,0,0
2,0.5,0,1.1,0,0
2,0.5,1,1.1,0,0
2,1,0.5,1.1,0,0
2,1,0,1.1,0,0
2,1,1,1.1,0,0
5,0.1,0.5,1.1,0,0
5,0.1,0,1.1,0,0
5,0.1,1,1.1,0,0
5,0.5,0.5,1.1,0,0
5,0.5,0,1.1,0,0
5,0.5,1,1.1,0,0
5,1,0.5,1.1,0,0
5,1,0,1.1,0,0
5,1,1,1.1,0,0
0.4,0.1,0.5,1.2,0,0
0.4,0.1,0,1.2,0,0
0.4,0.1,1,1.2,0,0
0.4,0.5,0.5,1.2,0,0
0.4,0.5,0,1.2,0,0
0.4,0.5,1,1.2,0,0
0.4,1,0.5,1.2,0,0
0.4,1,0,1.2,0,0
0.4,1,1,1.2,0,0
2,0.1,0.5,1.2,0,0
2,0.1,0,1.2,0,0
2,0.1,1,1.2,0,0
2,0.5,0.5,1.2,0,0
2,0.5,0,1.2,0,0
2,0.5,1,1.2,0,0
2,1,0.5,1.2,0,0
2,1,0,1.2,0,0
2,1,1,1.2,0,0
5,0.1,0.5,1.2,0,0
5,0.1,0,1.2,0,0
5,0.1,1,1.2,0,0
5,0.5,0.5,1.2,0,0
5,0.5,0,1.2,0,0
5,0.5,1,1.2,0,0
5,1,0.5,1.2,0,0
5,1,0,1.2,0,0
5,1,1,1.2,0,0
0.4,0.1,0.5,1.3,0,0
0.4,0.1,0,1.3,0,0
0.4,0.5,0.5,1.3,0,0
0.4,0.5,0,1.3,0,0
0.4,0.5,1,1.3,0,0
0.4,1,0.5,1.3,0,0
0.4,1,0,1.3,0,0
0.4,1,1,1.3,0,0
2,0.1,0.5,1.3,0,0
2,0.1,0,1.3,0,0
2,0.1,1,1.3,0,0
2,0.5,0.5,1.3,0,0
2,0.5,0,1.3,0,0
2,0.5,1,1.3,0,0
2,1,0.5,1.3,0,0
2,1,0,1.3,0,0
2,1,1,1.3,0,0
5,0.1,0.5,1.3,0,0
5,0.1,0,1.3,0,0
5,0.1,1,1.3,0,0
5,0.5,0.5,1.3,0,0
5,0.5,0,1.3,0,0
5,0.5,1,1.3,0,0
5,1,0.5,1.3,0,0
5,1,0,1.3,0,0
0.4,0.1,0.5,1.4,0,0
0.4,0.1,0,1.4,0,0
0.4,0.5,0.5,1.4,0,0
0.4,0.5,0,1.4,0,0
0.4,0.5,1,1.4,0,0
0.4,1,0.5,1.4,0,0
0.4,1,0,1.4,0,0
0.4,1,1,1.4,0,0
2,0.1,0,1.4,0,0
2,0.5,0.5,1.4,0,0
2,0.5,0,1.4,0,0
2,0.5,1,1.4,0,0
2,1,0.5,1.4,0,0
2,1,0,1.4,0,0
2,1,1,1.4,0,0
5,0.1,0.5,1.4,0,0
5,0.1,0,1.4,0,0
5,0.5,0.5,1.4,0,0
5,0.5,0,1.4,0,0
5,0.5,1,1.4,0,0
5,1,0.5,1.4,0,0
5,1,0,1.4,0,0
0.4,0.1,0.5,1.5,0,0
0.4,0.1,0,1.5,0,0
0.4,0.5,0.5,1.5,0,0
0.4,0.5,0,1.5,0,0
0.4,0.5,1,1.5,0,0
0.4,1,0.5,1.5,0,0
0.4,1,0,1.5,0,0
0.4,1,1,1.5,0,0
2,0.1,0.5,1.5,0,0
2,0.1,0,1.5,0,0
2,0.5,0.5,1.5,0,0
2,0.5,0,1.5,0,0
2,0.5,1,1.5,0,0
2,1,0.5,1.5,0,0
2,1,0,1.5,0,0
2,1,1,1.5,0,0
5,0.1,1,1.5,0,0
5,0.5,0.5,1.5,0,0
5,0.5,0,1.5,0,0
5,1,0,1.5,0,0
5,1,1,1.5,0,0
0.4,0.1,0.5,1.6,0,0
0.4,0.1,0,1.6,0,0
0.4,0.5,0.5,1.6,0,0
0.4,0.5,0,1.6,0,0
0.4,0.5,1,1.6,0,0
0.4,1,0.5,1.6,0,0
0.4,1,0,1.6,0,0
0.4,1,1,1.6,0,0
2,0.1,0.5,1.6,0,0
2,0.1,0,1.6,0,0
2,0.5,0.5,1.6,0,0
2,0.5,0,1.6,0,0
2,0.5,1,1.6,0,0
2,1,0.5,1.6,0,0
2,1,0,1.6,0,0
2,1,1,1.6,0,0
5,0.1,0.5,1.6,0,0
5,0.1,0,1.6,0,0
5,0.5,0.5,1.6,0,0
5,1,0,1.6,0,0
0.4,0.1,0.5,1.7,0,0
0.4,0.1,0,1.7,0,0
0.4,0.5,0.5,1.7,0,0
0.4,0.5,0,1.7,0,0
0.4,0.5,1,1.7,0,0
0.4,1,0.5,1.7,0,0
0.4,1,0,1.7,0,0
0.4,1,1,1.7,0,0
2,0.1,0,1.7,0,0
2,0.5,0.5,1.7,0,0
2,0.5,0,1.7,0,0
2,0.5,1,1.7,0,0
2,1,0.5,1.7,0,0
2,1,1,1.7,0,0
5,0.1,0.5,1.7,0,0
5,0.5,0.5,1.7,0,0
5,0.5,0,1.7,0,0
5,1,0,1.7,0,0
0.4,0.1,0.5,1.8,0,0
0.4,0.1,0,1.8,0,0
0.4,0.5,0.5,1.8,0,0
0.4,0.5,0,1.8,0,0
0.4,0.5,1,1.8,0,0
0.4,1,0.5,1.8,0,0
0.4,1,0,1.8,0,0
0.4,1,1,1.8,0,0
2,0.1,0,1.8,0,0
2,0.5,0,1.8,0,0
2,0.5,1,1.8,0,0
2,1,0.5,1.8,0,0
2,1,0,1.8,0,0
2,1,1,1.8,0,0
5,0.1,0,1.8,0,0
0.4,0.1,0.5,1.9,0,0
0.4,0.1,0,1.9,0,0
0.4,0.5,0.5,1.9,0,0
0.4,0.5,0,1.9,0,0
0.4,0.5,1,1.9,0,0
0.4,1,0.5,1.9,0,0
0.4,1,0,1.9,0,0
2,0.1,0,1.9,0,0
2,0.5,0.5,1.9,0,0
2,1,0.5,1.9,0,0
2,1,0,1.9,0,0
0.4,0.1,0.5,2,0,0
0.4,0.1,0,2,0,0
0.4,0.5,0.5,2,0,0
0.4,0.5,0,2,0,0
0.4,1,0.5,2,0,0
0.4,1,1,2,0,0
2,0.1,0.5,2,0,0
2,0.1,0,2,0,0
2,0.5,0.5,2,0,0
2,0.5,0,2,0,0
2,1,0.5,2,0,0
2,1,0,2,0,0
0.4,0.1,0.5,2.1,0,0
0.4,0.1,0,2.1,0,0
0.4,0.5,0,2.1,0,0
